DONOR_ID|NATIONAL_ID|SURNAME1|SURNAME2|FORENAME|BIRTH_DATE|SEX|ABO|RH|SITE_CODE|FIRST_DONATION_DT|REC_STATUS
D000001|97487526F|Ferr·ndez|EspinÛs|MartÌ|1987-06-16|M|AB|POS|LPA01||A
D000002|39262906H|Puigdemont|N˙Òez|JosÈ|1957-11-01|M|B|NEG|BCN02||A
D000003|49195336A|Ferr·ndez|VÌlchez|Jordi|1995-01-24|F|A|POS|VLC01||A
D000004|89222432V|Ib·Òez|Bofill|Jordi|2001-01-06|M|AB|NEG|BCN01||A
D000005|52436101X|Ib·Òez|Ferr·ndez|¡ngel|1969-07-28|F|A|POS|BCN01||A
D000006|47632764S|GÛmez|AlcaÒiz|IÒaki|1968-09-27|M|O|NEG|LPA01||A
D000007|88247583N|RodrÌguez|Bofill|CristÚfol|1956-02-27|F|A|NEG|VLC01||A
D000008|35309707D|N˙Òez|AlcaÒiz|Joan|1997-10-14|F|A|POS|MAD01||A
D000009|12205757D|PeÒalver|Ferr·ndez|SofÌa|1958-12-02|M|A|NEG|BCN01||A
D000010|63969073L|Ib·Òez|Ferr·ndez|Xavier|1988-10-28|F|B|NEG|MAD01||A
D000011|13312217N|GÛmez|S·ez|BegoÒa|1962-04-06|F|A|POS|BCN02||A
D000012|92605208N|S·ez|EspinÛs|MarÌa|1991-03-27|F|B|POS|BCN01||A
D000013|68006294S|Ib·Òez|VÌlchez|IÒaki|1993-04-22|F|A|NEG|BCN01||A
D000014|30577436H|N˙Òez|AlcaÒiz|Xavier|1972-10-04|F|B|NEG|LPA01||A
D000015|13966200G|RodrÌguez|Bofill|MÛnica|1987-07-25|M|O|POS|BCN01||A
D000016|22241642K|GÛmez|RodrÌguez|JosÈ|1994-11-20|F|A|NEG|LPA01||A
D000017|45257173T|Catal‡|Catal‡|Joan|1961-02-22|M|O|POS|BCN01||A
D000018|53575639D|Ib·Òez|RodrÌguez|LucÌa|2000-10-18|M|A|NEG|BCN02||A
D000019|93088547H|Ib·Òez|Bofill|Joan|1977-01-22|M|AB|NEG|VLC01||A
D000020|62580442A|Puigdemont|S·ez|JosÈ|1960-07-12|M|AB|NEG|LPA01||A
D000021|96171382K|EspinÛs|Ferr·ndez|IÒaki|2000-01-09|F|B|NEG|MAD01||A
D000022|40163360N|Bofill|MuÒoz|Joan|1995-07-15|F|O|NEG|BCN02||A
D000023|35149675J|Puigdemont|S·ez|SofÌa|1977-12-06|M|B|POS|BCN01||A
D000024|31546826M|VÌlchez|Puigdemont|SofÌa|1962-10-20|F|O|POS|BCN01||A
D000025|72748013K|AlcaÒiz|PeÒalver|MarÌa|1995-06-17|F|AB|NEG|LPA01||A
D000026|71474305Y|S·ez|S·ez|N˙ria|1999-05-14|M|AB|POS|MAD01||A
D000027|82151200S|N˙Òez|Bofill|JosÈ|1962-12-26|M|A|NEG|BCN02||A
D000028|71085136Q|V√≠lchez|Ferr·ndez|Jos√©|1970-04-11|M|O|NEG|BCN01||A
D000029|58463448G|MuÒoz|PeÒalver|MarÌa|1964-01-27|M|AB|NEG|BCN02||A
D000030|56375415J|EspinÛs|S·ez|¡ngel|1960-08-12|F|O|POS|BCN01||A
D000031|24892568R|GÛmez|RodrÌguez|Xavier|1998-04-19|M|O|NEG|LPA01||A
D000032|33008004G|RodrÌguez|N˙Òez|MarÌa|1977-07-13|M|O|NEG|LPA01||A
D000033|35135450S|Ferr·ndez|RodrÌguez|¡ngel|1996-01-04|M|B|NEG|VLC01||A
D000034|93892500B|VÌlchez|AlcaÒiz|MartÌ|1986-10-28|M|A|NEG|VLC01||A
D000035|71721775K|VÌlchez|Puigdemont|MartÌ|1966-07-10|F|B|POS|VLC01||A
D000036|27601463X|Pe√±alver|VÌlchez|I√±aki|1994-01-04|M|A|POS|LPA01||A
D000037|53159786X|PeÒalver|Ferr·ndez|SofÌa|1984-02-20|F|A|POS|MAD01||A
D000038|19357854S|RodrÌguez|Catal‡|Xavier|1979-05-08|F|AB|NEG|BCN02||A
D000039|27807097E|Ib·Òez|N˙Òez|N˙ria|1985-10-23|F|AB|POS|BCN02||A
D000040|29742854K|MuÒoz|MuÒoz|Xavier|1957-09-26|F|O|NEG|BCN01||A
D000041|29912712L|Bofill|Ib·Òez|Joan|1990-01-17|F|AB|POS|BCN02||A
D000042|59374082Q|N˙Òez|Catal‡|MartÌ|2000-03-16|F|O|NEG|LPA01||A
D000043|46209450S|EspinÛs|Ib·Òez|MarÌa|1988-11-06|F|A|POS|VLC01||A
D000044|11814679L|Ferr·ndez|Bofill|BegoÒa|1979-02-12|M|B|POS|VLC01||A
D000045|96648035W|Bofill|MuÒoz|MarÌa|1995-05-26|F|A|POS|VLC01||A
D000046|22752077R|Puigdemont|MuÒoz|MÛnica|1985-10-26|F|A|POS|VLC01||A
D000047|45634443R|GÛmez|Puigdemont|MÛnica|2002-09-17|F|B|NEG|BCN01||A
D000048|89333490N|PeÒalver|VÌlchez|BegoÒa|1989-06-11|M|AB|POS|VLC01||A
D000049|66058500B|RodrÌguez|AlcaÒiz|Jordi|1988-06-18|M|O|NEG|VLC01||A
D000050|24178497S|EspinÛs|VÌlchez|SofÌa|2000-08-23|M|B|NEG|BCN01||A
D000051|37377618L|PeÒalver|RodrÌguez|N˙ria|1985-06-17|M|AB|POS|LPA01||A
D000052|20439378X|MuÒoz|Ib·Òez|MarÌa|1958-11-19|M|A|POS|LPA01||A
D000053|21615047F|AlcaÒiz|GÛmez|Aitana|1999-01-05|F|O|NEG|VLC01||A
D000054|33374407N|Catal‡|VÌlchez|LucÌa|1968-11-02|M|O|NEG|BCN02||A
D000055|26054662A|Puigdemont|RodrÌguez|¡lvaro|1995-07-15|F|AB|POS|LPA01||A
D000056|36544238L|VÌlchez|Bofill|Jordi|2002-02-16|F|AB|POS|VLC01||A
D000057|71862033R|EspinÛs|AlcaÒiz|BegoÒa|1968-07-25|F|B|NEG|LPA01||A
D000058|37152246T|Catal‡|MuÒoz|Xavier|1963-04-03|F|A|NEG|BCN02||A
D000059|17915877J|Ib·Òez|N˙Òez|MarÌa|1965-06-12|M|AB|NEG|BCN02||A
D000060|27399851C|Catal‡|Ferr·ndez|MÛnica|1961-04-19|M|AB|POS|BCN02||A
D000061|42866257C|Ferr·ndez|S·ez|Jordi|2001-02-20|M|B|NEG|BCN02||A
D000062|25154901F|S·ez|Ib·Òez|MarÌa|1985-07-05|F|AB|POS|MAD01||A
D000063|63690261H|AlcaÒiz|Ib·Òez|MartÌ|1964-03-19|M|A|POS|BCN02||A
D000064|65685941Q|Bofill|Puigdemont|N˙ria|1996-12-28|M|AB|POS|VLC01||A
D000065|25101574Y|Puigdemont|Ib·Òez|Aitana|1965-11-13|F|B|POS|LPA01||A
D000066|76618797X|MuÒoz|S·ez|JosÈ|1992-07-07|F|B|POS|BCN02||A
D000067|91817772Y|Catal‡|EspinÛs|LucÌa|1957-03-02|F|B|NEG|LPA01||A
D000068|57760900T|AlcaÒiz|Puigdemont|CristÚfol|1984-09-08|M|A|NEG|BCN01||A
D000069|63427878L|EspinÛs|EspinÛs|IÒaki|1985-11-07|F|O|NEG|BCN01||A
D000070|23488427M|PeÒalver|Ferr·ndez|BegoÒa|1956-12-18|M|B|POS|VLC01||A
D000071|20493081K|MuÒoz|PeÒalver|Joan|1975-06-02|M|AB|POS|VLC01||A
D000072|82810466W|Puigdemont|PeÒalver|Aitana|1975-04-08|F|A|POS|BCN02||A
D000073|93263970N|AlcaÒiz|AlcaÒiz|CristÚfol|1967-02-21|F|O|NEG|MAD01||A
D000074|27799748H|Bofill|Ferr·ndez|LucÌa|1977-12-15|F|O|NEG|BCN02||A
D000075|94713196Q|GÛmez|Ib·Òez|Xavier|1960-08-02|M|A|POS|BCN01||A
D000076|80059488V|GÛmez|Bofill|Jordi|1977-08-10|F|AB|NEG|LPA01||A
D000077|42252268G|Puigdemont|Bofill|SofÌa|1963-05-02|M|O|NEG|LPA01||A
D000078|29797430E|Ib·Òez|N˙Òez|CristÚfol|1980-12-09|M|B|NEG|MAD01||A
D000079|33294783N|AlcaÒiz|Ferr·ndez|N˙ria|1962-01-11|M|A|POS|MAD01||A
D000080|80643548Z|Bofill|RodrÌguez|MÛnica|1980-08-17|F|A|NEG|BCN02||A
D000081|35240726K|AlcaÒiz|Ferr·ndez|Aitana|1996-06-11|F|AB|POS|BCN01||A
D000082|33430397L|Ib·Òez|N˙Òez|SofÌa|1960-11-28|M|B|NEG|LPA01||A
D000083|42214970L|RodrÌguez|Catal‡|MÛnica|2002-10-10|M|O|NEG|MAD01||A
D000084|55764500R|AlcaÒiz|Bofill|Joan|1977-07-18|M|B|NEG|VLC01||A
D000085|75825877L|PeÒalver|AlcaÒiz|MarÌa|1966-01-15|F|AB|POS|BCN01||A
D000086|24720331D|RodrÌguez|S·ez|IÒaki|1965-03-01|M|O|NEG|LPA01||A
D000087|55131023L|Bofill|Ib·Òez|Aitana|1974-05-22|M|O|NEG|LPA01||A
D000088|11321945X|S·ez|Bofill|¡lvaro|1971-04-10|F|AB|NEG|BCN02||A
D000089|57785788F|Ferr·ndez|Puigdemont|CristÚfol|1957-07-18|F|A|NEG|VLC01||A
D000090|41748572G|Puigdemont|Puigdemont|MartÌ|1976-03-24|M|AB|POS|BCN01||A
D000091|86173253N|AlcaÒiz|Catal‡|¡ngel|1961-04-04|F|B|NEG|BCN02||A
D000092|17775169M|RodrÌguez|S·ez|Jordi|1971-02-19|F|AB|NEG|VLC01||A
D000093|67439838G|RodrÌguez|Puigdemont|¡lvaro|1967-08-17|M|O|NEG|LPA01||A
D000094|49209084M|AlcaÒiz|Bofill|Jordi|1981-02-11|M|B|POS|BCN02||A
D000095|39471453P|Ib·Òez|AlcaÒiz|IÒaki|1979-10-04|M|O|POS|MAD01||A
D000096|43056782L|Ferr·ndez|MuÒoz|LucÌa|1973-01-06|M|B|NEG|BCN02||A
D000097|46716764F|EspinÛs|Bofill|JosÈ|1990-11-11|F|A|POS|LPA01||A
D000098|25214496Y|Mu√±oz|PeÒalver|Mar√≠a|1986-09-14|F|A|POS|LPA01||A
D000099|21581346J|RodrÌguez|Puigdemont|BegoÒa|1966-03-26|F|B|POS|BCN01||A
D000100|62504901A|N˙Òez|S·ez|¡lvaro|1998-11-25|M|O|NEG|LPA01||A
D000101|76868549C|Catal‡|VÌlchez|N˙ria|1959-12-09|F|A|NEG|VLC01||A
D000102|55487505Q|GÛmez|Ib·Òez|MÛnica|1991-05-19|F|AB|NEG|BCN02||A
D000103|87808901X|PeÒalver|Ib·Òez|IÒaki|1970-07-22|M|AB|POS|VLC01||A
D000104|34598709X|S·ez|Catal‡|¡ngel|1993-12-15|M|O|POS|BCN02||A
D000105|69696399X|VÌlchez|AlcaÒiz|MartÌ|1958-06-17|F|AB|NEG|VLC01||A
D000106|85827221G|EspinÛs|Catal‡|MÛnica|1958-08-03|M|B|POS|VLC01||A
D000107|81239374J|Ferr·ndez|Ib·Òez|IÒaki|1997-07-24|M|B|NEG|LPA01||A
D000108|41328894K|GÛmez|VÌlchez|LucÌa|1988-10-06|F|B|NEG|MAD01||A
D000109|66376413B|VÌlchez|Ib·Òez|LucÌa|1968-01-27|F|A|NEG|MAD01||A
D000110|16228284F|AlcaÒiz|RodrÌguez|Xavier|1976-05-28|M|AB|POS|BCN02||A
D000111|66207408B|N˙Òez|GÛmez|Aitana|1966-10-24|F|O|POS|BCN02||A
D000112|93607524M|AlcaÒiz|Ib·Òez|Joan|1987-12-16|M|A|POS|MAD01||A
D000113|61191479P|VÌlchez|PeÒalver|Xavier|2000-05-23|F|AB|POS|BCN01||A
D000114|47821994N|GÛmez|Puigdemont|BegoÒa|1963-02-12|F|B|POS|VLC01||A
D000115|79482112Y|Ib·Òez|Bofill|N˙ria|1983-07-04|F|A|POS|VLC01||A
D000116|47029359G|Puigdemont|N˙Òez|MÛnica|1958-04-20|M|B|POS|VLC01||A
D000117|82165019X|GÛmez|GÛmez|CristÚfol|1976-03-03|F|B|NEG|MAD01||A
D000118|11240854L|Ferr·ndez|Catal‡|SofÌa|2002-07-20|F|O|NEG|MAD01||A
D000119|40686867A|EspinÛs|Ib·Òez|MarÌa|1979-06-18|F|A|POS|MAD01||A
D000120|81894797H|AlcaÒiz|S·ez|Joan|1987-09-17|F|O|POS|MAD01||A
D000121|68250625A|Catal‡|RodrÌguez|Aitana|1967-03-08|M|A|NEG|VLC01||A
D000122|83124871W|S·ez|GÛmez|BegoÒa|1978-02-13|F|AB|POS|BCN02||A
D000123|40174255E|Ferr·ndez|S·ez|¡ngel|1982-02-25|M|AB|POS|MAD01||A
D000124|68229385S|MuÒoz|Puigdemont|MartÌ|1989-10-24|F|A|POS|BCN02||A
D000125|48216840P|GÛmez|Bofill|¡lvaro|1961-01-27|F|A|POS|MAD01||A
D000126|65156759N|Catal‡|N˙Òez|Joan|1972-01-08|F|B|POS|BCN02||A
D000127|88550335X|PeÒalver|PeÒalver|CristÚfol|2000-08-18|F|B|POS|BCN02||A
